,nome,rank,idade,email,hash_senha
74,Droxy,53,21,Droxy@gmail.com,697068337264
75,Gunner,34,20,Gunner@hotmail.com,246203637534
76,Slapacrombie,42,22,Slapacrombie@gmail.com,402100072756
77,BreadPitt,1,17,BreadPitt@gmail.com,620954666102
78,PinkHopper,7,19,PinkHopper@outlook.com,503733276365
79,Electron,51,20,Electron@hotmail.com,168814872294
80,Frescade,78,23,Frescade@outlook.com,993145247070
81,Vintall,19,18,Vintall@gmail.com,386015801741
82,Bvisonki,88,31,Bvisonki@hotmail.com,626893999064
83,Timessa,39,23,Timessa@hotmail.com,886388969545
84,Satechas,0,14,Satechas@gmail.com,481783855405
85,SchrodingersEevee,94,20,SchrodingersEevee@gmail.com,560760652154
86,HealPatrick,35,16,HealPatrick@hotmail.com,671812323172
87,Bahamut Ali,46,18,BahamutAli@hotmail.com,965682869752
88,Jenovas Witness,49,20,JenovasWitness@hotmail.com,976125523292
89,Allahu Ackbard,48,21,AllahuAckbard@gmail.com,294513567317
90,Tio Rafa,38,17,TioRafa@outlook.com,177704017379
91,Tipsfedora,97,34,Tipsfedora@gmail.com,932822267150
92,UnkownxXxX,48,19,UnkownxXxX@hotmail.com,537252881840
93,Escaped Retainer,41,18,EscapedRetainer@gmail.com,690922949692
94,Al Zheimer,46,19,AlZheimer@gmail.com,154390848978
95,Behemoth,54,26,Behemoth@hotmail.com,279080324851
96,Famfrit,0,18,Famfrit@hotmail.com,720461297950
97,Lohse,50,18,Lohse@outlook.com,838290173473
98,LizardBoy,52,23,LizardBoy@gmail.com,421728123791
99,Fane,54,27,Fane@gmail.com,991078650409
100,Vilkar,84,29,Vilkar@gmail.com,535432440181
101,Slambert,74,28,Slambert@hotmail.com,490793145973
102,Geralt,9,17,Geralt@outlook.com,296392648337
103,Rivia,95,18,Rivia@gmail.com,299270412627
104,Mordor,70,23,Mordor@gmail.com,745569957436
105,V,25,26,V@gmail.com,888859055252
106,PewDiePie,13,18,PewDiePie@gmail.com,283837192445
107,Valkios,63,29,Valkios@gmail.com,351292021659
108,MarsBruno,54,24,MarsBruno@yahoo.com,615210749507
109,Veritasium,72,26,Veritasium@gmail.com,976517872814
110,Vox,68,24,Vox@gmail.com,588183652270
111,ChildishGambino,60,26,ChildishGambino@gmail.com,773871098016
112,AceAura,52,26,AceAura@yahoo.com,423585707903
113,Vi,28,18,Vi@gmail.com,161297099118
114,Jinx,64,18,Jinx@hotmail.com,917771854881
115,Vander,20,25,Vander@hotmail.com,427792265957
116,Silko,15,24,Silko@gmail.com,168288036131
117,CoffeeTime,45,23,CoffeeTime@gmail.com,473356947417
118,Simba,14,19,Simba@gmail.com,427649579779
119,Bambalamba,0,20,Bambalamba@gmail.com,724004502131
120,Batatomo,36,17,Batatomo@gmail.com,623984055617
121,Battlecute,59,27,Battlecute@hotmail.com,853238236084
122,SCIENCEBITCH,98,25,SCIENCEBITCH@outlook.com,352584975802
123,Integilencia,92,26,Integilencia@gmail.com,393346076211
124,DrakeJukes,90,24,DrakeJukes@gmail.com,302520445615
125,Jaden,89,31,Jaden@hotmail.com,684212841789
126,LilNasX,2,18,LilNasX@hotmail.com,617576486983
127,Miller,43,30,Miller@hotmail.com,393386771136
128,Strang,82,26,Strang@hotmail.com,400513105327
129,bbnoS,50,22,bbnoS@hotmail.com,450170301573
130,Babygun,19,20,Babygun@gmail.com,816202539152
131,Marshmallow,0,20,Marshmallow@yahoo.com,748619113564
132,BeelStoven,60,25,BeelStoven@gmail.com,462644528124
133,GuilhermeTold,42,20,GuilhermeTold@gmail.com,437216019865
134,SemiYellowSubmarine,32,25,SemiYellowSubmarine@outlook.com,210613770194
135,August,87,21,August@hotmail.com,621182926126
136,MrKitty,51,17,MrKitty@gmail.com,126021876378
137,ILLENIUM,26,22,ILLENIUM@hotmail.com,961551063366
138,Nurko,100,26,Nurko@yahoo.com,711710240160
139,Dante,65,21,Dante@gmail.com,289600409672
140,Nero,73,26,Nero@gmail.com,854238424577
141,Had3s,0,19,Had3s@gmail.com,110944883542
142,Kayle,7,19,Kayle@gmail.com,456879656963
143,Yod1sta,94,25,Yod1sta@hotmail.com,352732534353
144,BlackBlockShock,31,23,BlackBlockShock@hotmail.com,529695333420
145,Yshtola,23,19,Yshtola@hotmail.com,737616006857
146,Calino,69,27,Calino@gmail.com,252647299145
147,Brocolinho,59,22,Brocolinho@gmail.com,825102288620
148,Godofpong,50,26,Godofpong@hotmail.com,413362372334
149,demigod,49,23,demigod@gmail.com,517594679839
150,flingflong,79,23,flingflong@hotmail.com,822779269056
151,Asiaticoaleatorio06,66,29,Asiaticoaleatorio06@gmail.com,360915463443
152,LOTRO,42,22,LOTRO@hotmail.com,543793736894
153,Cyberpunk2077,22,21,Cyberpunk2077@hotmail.com,713229047145
154,Dekko,13,14,Dekko@outlook.com,161559600166
155,Todoroki,69,27,Todoroki@hotmail.com,366394729126
156,Midoriya,80,25,Midoriya@gmail.com,189188749786
157,KIKI,69,20,KIKI@gmail.com,802078493087
158,KREIKREI,45,17,KREIKREI@hotmail.com,903573155835
159,Tokoyami,28,21,Tokoyami@gmail.com,874467167807
160,Dabi,18,20,Dabi@gmail.com,959159401303
161,Challenger,65,22,Challenger@gmail.com,883957476236
162,brozinhoprogamer,36,24,brozinhoprogamer@hotmail.com,783719416553
163,Spiderman,70,25,Spiderman@outlook.com,574612427125
164,Burberry,86,30,Burberry@gmail.com,419965175631
165,Saitama,60,22,Saitama@gmail.com,837070928383
166,Monicadentuda,57,27,Monicadentuda@yahoo.com,885635859900
167,Cebolinha,34,15,Cebolinha@outlook.com,263191481782
168,BladeRunner,18,15,BladeRunner@hotmail.com,234731793731
169,Elasto,42,14,Elasto@hotmail.com,232683958051
170,InazumaEleven,37,22,InazumaEleven@hotmail.com,442937251755
171,Inuyasha,7,22,Inuyasha@hotmail.com,570050784451
172,Yusuke Urameshi,17,22,YusukeUrameshi@gmail.com,656136823347
173,Hiei,0,13,Hiei@hotmail.com,191842737612
174,Kurama,20,20,Kurama@gmail.com,924637737072
175,Gon,54,22,Gon@hotmail.com,621449610089
176,Killua,63,25,Killua@hotmail.com,936470780870
177,Hisoka,100,33,Hisoka@gmail.com,982722677513
178,NeerLand,48,25,NeerLand@gmail.com,802611990171
179,CloudFuel,0,16,CloudFuel@hotmail.com,209509497280
180,Sleegi,47,24,Sleegi@gmail.com,710430779873
181,realizmbass,59,23,realizmbass@gmail.com,393645521891
182,Rickyandmorty,56,28,Rickyandmorty@gmail.com,524418200909
183,Godsmilla,50,20,Godsmilla@gmail.com,660209218390
184,Brian,34,20,Brian@gmail.com,455793848126
185,StigOnSteroids,93,27,StigOnSteroids@hotmail.com,626370191480
186,Koenigsegg,75,30,Koenigsegg@outlook.com,895544281035
187,KingMuffins16,59,22,KingMuffins16@gmail.com,661722115211
188,Shinji,19,21,Shinji@gmail.com,122503673091
189,Rei,71,19,Rei@yahoo.com,127843295788
190,EVA01,68,30,EVA01@gmail.com,822783143052
191,EVA00,54,18,EVA00@gmail.com,245850270726
192,SamuraiX,100,28,SamuraiX@gmail.com,361371779371
193,NathanHammerTime,40,27,NathanHammerTime@hotmail.com,481451371102
194,charlesjogos,35,17,charlesjogos@gmail.com,735813940544
195,Diablo,4,20,Diablo@gmail.com,964148610158
196,Diablete,100,24,Diablete@hotmail.com,722492119782
197,Sasuke,0,17,Sasuke@gmail.com,328709741380
198,Contra,39,18,Contra@hotmail.com,472590436672
199,BuldogueAloprado,85,27,BuldogueAloprado@gmail.com,475644018044
200,EsquiloTorto_91,44,19,EsquiloTorto_91@gmail.com,249658504879
201,Lfz_54,36,18,Lfz_54@hotmail.com,310424403238
202,MorfeuDoidao_84,14,16,MorfeuDoidao_84@gmail.com,406004133377
203,Uizel_92,70,21,Uizel_92@gmail.com,601422662765
204,Shimo_80,91,27,Shimo_80@hotmail.com,620446528440
205,duduxgamer_9,52,25,duduxgamer_9@gmail.com,662541225171
206,YodaSL_65,21,23,YodaSL_65@hotmail.com,223154815331
207,alanzoka_74,36,21,alanzoka_74@yahoo.com,429703403832
208,Kami_36,33,17,Kami_36@gmail.com,944122756285
209,Faker_36,95,30,Faker_36@hotmail.com,745149523196
210,Caca_1,70,27,Caca_1@yahoo.com,455135450130
211,TomFromIT_8,50,21,TomFromIT_8@gmail.com,115318084374
212,ObiWanKenhomie_34,79,34,ObiWanKenhomie_34@yahoo.com,899780387313
213,CaptinAwsome61_71,51,22,CaptinAwsome61_71@gmail.com,407969515746
214,WittyPup3812019_21,37,24,WittyPup3812019_21@outlook.com,775219153922
215,UnabatedShagie_75,54,30,UnabatedShagie_75@gmail.com,656420038765
216,xxGREENxARR0Wxx_17,72,24,xxGREENxARR0Wxx_17@hotmail.com,755409238002
217,duckyisbeast_69,48,15,duckyisbeast_69@gmail.com,538918883708
218,SoulLaVane_63,21,18,SoulLaVane_63@gmail.com,581331019390
219,Xerel_57,77,22,Xerel_57@gmail.com,508536315221
220,eclaireN7_35,63,24,eclaireN7_35@hotmail.com,238796479396
221,BoboMajora_48,0,14,BoboMajora_48@yahoo.com,512320388892
222,Bob_7,72,26,Bob_7@hotmail.com,328480540072
223,Alexassaura_38,19,20,Alexassaura_38@outlook.com,348163689436
224,PatoPapao_14,67,24,PatoPapao_14@gmail.com,987632492824
225,Mylonzete_3,77,29,Mylonzete_3@gmail.com,247984933236
226,revolta_83,41,22,revolta_83@yahoo.com,807876915943
227,Rakin_41,100,24,Rakin_41@hotmail.com,822977403781
228,esA_11,36,17,esA_11@gmail.com,119477280417
229,Felps_59,34,26,Felps_59@hotmail.com,573315622340
230,MrFall_71,0,13,MrFall_71@hotmail.com,884772585601
231,takeshi_39,24,25,takeshi_39@gmail.com,580299109747
232,DooDooDave_6,100,28,DooDooDave_6@hotmail.com,248720426146
233,Warewholock13_9,60,21,Warewholock13_9@gmail.com,129054100816
234,BotDavi_36,0,17,BotDavi_36@hotmail.com,514653173581
235,ConfusedBotanist_58,64,24,ConfusedBotanist_58@gmail.com,718934978306
236,HugeLalafell_47,0,17,HugeLalafell_47@gmail.com,678739678496
237,calango_46,38,18,calango_46@gmail.com,386166884450
238,bagi_91,30,23,bagi_91@hotmail.com,687771794125
239,ReinaldoDjango_78,0,16,ReinaldoDjango_78@hotmail.com,168460907410
240,TickoTecko_4,0,12,TickoTecko_4@hotmail.com,974356833902
241,Psicoplasma_70,92,28,Psicoplasma_70@gmail.com,769866635455
242,Katarina_83,62,24,Katarina_83@gmail.com,160037632331
243,AlfaZero_53,49,25,AlfaZero_53@gmail.com,278052877807
244,SnowDPP_0,65,20,SnowDPP_0@gmail.com,255267202123
245,Biazinha03_87,38,22,Biazinha03_87@hotmail.com,928050934563
246,Patati_78,28,20,Patati_78@gmail.com,939818946640
247,Patata_25,58,27,Patata_25@outlook.com,154197249112
248,Palhançandinham_5,100,21,Palhançandinham_5@gmail.com,560844696715
249,GeoooO_76,19,19,GeoooO_76@gmail.com,650149565268
250,Adele_9,62,17,Adele_9@hotmail.com,624628281813
251,EdCheira_65,35,22,EdCheira_65@gmail.com,867063659281
252,CharutoUsacrack_44,8,23,CharutoUsacrack_44@hotmail.com,207492045840
253,Stephannn_96,100,29,Stephannn_96@gmail.com,587268701055
254,SwingSwongsson_14,69,26,SwingSwongsson_14@gmail.com,557652034030
255,Potinho_22,52,22,Potinho_22@gmail.com,919378745683
256,CerealKiller_90,8,25,CerealKiller_90@hotmail.com,972852099331
257,Commando_94,64,19,Commando_94@hotmail.com,392551042821
258,Clickzy_53,41,18,Clickzy_53@gmail.com,375279976825
259,Flixzer_90,65,22,Flixzer_90@gmail.com,794973892983
260,Lotus_51,39,22,Lotus_51@gmail.com,714538252416
261,Jaabaaz_37,78,27,Jaabaaz_37@gmail.com,605504154269
262,MakunaHatata_47,93,28,MakunaHatata_47@outlook.com,663254273006
263,WalkingPegasus_41,40,23,WalkingPegasus_41@gmail.com,556083444643
264,xXnightmareXx_92,83,17,xXnightmareXx_92@hotmail.com,684113339874
265,Alberta_19,100,30,Alberta_19@hotmail.com,915510267382
266,zLoveMySkills_86,22,22,zLoveMySkills_86@gmail.com,513344238153
267,BUTTERNUGGETZ_78,0,21,BUTTERNUGGETZ_78@hotmail.com,214311269389
268,Willow_71,71,31,Willow_71@gmail.com,164542779304
269,IronHeart_36,97,34,IronHeart_36@outlook.com,149797703260
270,HackEye_63,42,25,HackEye_63@hotmail.com,976104441875
271,NightEye_78,58,27,NightEye_78@hotmail.com,729132144593
272,SleekZelda_27,6,20,SleekZelda_27@gmail.com,446373109025
273,PsychoticWisdom_72,38,15,PsychoticWisdom_72@gmail.com,730134541288
274,Droxy_66,38,19,Droxy_66@gmail.com,474361709853
275,Gunner_32,13,21,Gunner_32@gmail.com,804987661635
276,Slapacrombie_99,26,18,Slapacrombie_99@gmail.com,900243532013
277,BreadPitt_78,19,19,BreadPitt_78@gmail.com,419505330232
278,PinkHopper_56,32,19,PinkHopper_56@outlook.com,901641022821
279,Electron_8,28,22,Electron_8@hotmail.com,705163327805
280,Frescade_3,46,26,Frescade_3@hotmail.com,314944166035
281,Vintall_2,22,20,Vintall_2@yahoo.com,809809265386
282,Bvisonki_75,37,18,Bvisonki_75@gmail.com,626583403694
283,Timessa_7,33,21,Timessa_7@gmail.com,964191652540
284,Satechas_34,85,23,Satechas_34@gmail.com,841549891866
285,SchrodingersEevee_49,21,23,SchrodingersEevee_49@hotmail.com,419643531584
286,HealPatrick_14,80,27,HealPatrick_14@hotmail.com,816861150993
287,Bahamut Ali_59,60,18,BahamutAli_59@gmail.com,912808380517
288,Jenovas Witness_82,55,22,JenovasWitness_82@hotmail.com,189738759857
289,Allahu Ackbard_52,42,23,AllahuAckbard_52@hotmail.com,138325346840
290,Tio Rafa_4,45,25,TioRafa_4@gmail.com,221967668705
291,Tipsfedora_83,65,26,Tipsfedora_83@yahoo.com,778247644475
292,UnkownxXxX_99,0,17,UnkownxXxX_99@hotmail.com,623264933287
293,Escaped Retainer_87,13,19,EscapedRetainer_87@gmail.com,658765264786
294,Al Zheimer_59,51,26,AlZheimer_59@gmail.com,678294672093
295,Behemoth_71,76,21,Behemoth_71@gmail.com,639126870808
296,Famfrit_93,38,21,Famfrit_93@gmail.com,604893994089
297,Lohse_41,60,19,Lohse_41@hotmail.com,116315194144
298,LizardBoy_1,72,28,LizardBoy_1@gmail.com,465229956087
299,Fane_82,99,31,Fane_82@hotmail.com,490047277485
300,Vilkar_79,31,21,Vilkar_79@gmail.com,971376790870
301,Slambert_32,13,15,Slambert_32@hotmail.com,322578720297
302,Geralt_94,87,26,Geralt_94@gmail.com,150090774714
303,Rivia_44,100,28,Rivia_44@gmail.com,226459119125
304,Mordor_55,36,24,Mordor_55@hotmail.com,182516120419
305,V_10,45,27,V_10@hotmail.com,801672966813
306,PewDiePie_38,99,26,PewDiePie_38@gmail.com,462609316098
307,Valkios_94,49,18,Valkios_94@hotmail.com,792001487279
308,MarsBruno_65,37,24,MarsBruno_65@hotmail.com,395802077502
309,Veritasium_3,72,25,Veritasium_3@gmail.com,396585513009
310,Vox_10,96,34,Vox_10@yahoo.com,847160067997
311,ChildishGambino_93,93,25,ChildishGambino_93@gmail.com,693114412950
312,AceAura_84,67,27,AceAura_84@hotmail.com,168094233835
313,Vi_0,26,24,Vi_0@hotmail.com,329610349210
314,Jinx_57,73,24,Jinx_57@hotmail.com,802483850163
315,Vander_19,71,29,Vander_19@gmail.com,639654172438
316,Silko_86,100,32,Silko_86@gmail.com,319468670997
317,CoffeeTime_58,62,26,CoffeeTime_58@outlook.com,501543807073
318,Simba_47,38,18,Simba_47@gmail.com,373566231965
319,Bambalamba_97,83,22,Bambalamba_97@gmail.com,770185369005
320,Batatomo_39,65,23,Batatomo_39@hotmail.com,668392772441
321,Battlecute_49,46,18,Battlecute_49@gmail.com,298405330898
322,SCIENCEBITCH_45,57,30,SCIENCEBITCH_45@gmail.com,154663305192
323,Integilencia_52,86,25,Integilencia_52@hotmail.com,595178411731
324,DrakeJukes_26,96,30,DrakeJukes_26@gmail.com,179909839553
325,Jaden_96,51,20,Jaden_96@hotmail.com,967088793679
326,LilNasX_81,33,24,LilNasX_81@hotmail.com,224673729871
327,Miller_99,36,18,Miller_99@gmail.com,958055699915
328,Strang_84,66,21,Strang_84@hotmail.com,721850704064
329,bbnoS_85,17,22,bbnoS_85@hotmail.com,483129118402
330,Babygun_90,100,26,Babygun_90@gmail.com,334333173560
331,Marshmallow_65,88,30,Marshmallow_65@gmail.com,637101271815
332,BeelStoven_0,35,22,BeelStoven_0@yahoo.com,851783906559
333,GuilhermeTold_8,56,27,GuilhermeTold_8@gmail.com,542593334316
334,SemiYellowSubmarine_91,26,18,SemiYellowSubmarine_91@gmail.com,215079525187
335,August_73,5,18,August_73@gmail.com,484413297443
336,MrKitty_72,67,27,MrKitty_72@gmail.com,633651957210
337,ILLENIUM_93,17,20,ILLENIUM_93@gmail.com,700341256324
338,Nurko_94,71,23,Nurko_94@gmail.com,191098627182
339,Dante_38,53,17,Dante_38@gmail.com,574638114824
340,Nero_14,49,19,Nero_14@gmail.com,187398611308
341,Had3s_63,76,21,Had3s_63@gmail.com,505393933179
342,Kayle_74,3,20,Kayle_74@gmail.com,750532379076
343,Yod1sta_8,46,18,Yod1sta_8@hotmail.com,352432147051
344,BlackBlockShock_87,39,23,BlackBlockShock_87@hotmail.com,866987773967
345,Yshtola_69,62,23,Yshtola_69@outlook.com,361998037790
346,Calino_61,87,21,Calino_61@gmail.com,265354557013
347,Brocolinho_34,68,25,Brocolinho_34@gmail.com,245080976468
348,Godofpong_40,34,22,Godofpong_40@hotmail.com,557713539541
349,demigod_61,55,24,demigod_61@gmail.com,265817741193
350,flingflong_87,33,21,flingflong_87@outlook.com,960815237893
351,Asiaticoaleatorio06_46,62,21,Asiaticoaleatorio06_46@gmail.com,454722130251
352,LOTRO_10,60,19,LOTRO_10@yahoo.com,143340416404
353,Cyberpunk2077_46,71,26,Cyberpunk2077_46@gmail.com,413137378601
354,Dekko_54,48,23,Dekko_54@hotmail.com,141850292852
355,Todoroki_54,52,18,Todoroki_54@hotmail.com,862568359634
356,Midoriya_68,75,25,Midoriya_68@gmail.com,778049100707
357,KIKI_29,30,23,KIKI_29@gmail.com,887541518535
358,KREIKREI_9,44,19,KREIKREI_9@gmail.com,479947340123
359,Tokoyami_77,44,19,Tokoyami_77@gmail.com,627788740576
360,Dabi_87,69,27,Dabi_87@gmail.com,594851026016
361,Challenger_7,6,17,Challenger_7@gmail.com,363614463710
362,brozinhoprogamer_38,38,25,brozinhoprogamer_38@hotmail.com,414563625956
363,Spiderman_15,43,20,Spiderman_15@gmail.com,274104815394
364,Burberry_45,69,19,Burberry_45@gmail.com,433430696514
365,Saitama_91,20,19,Saitama_91@gmail.com,444110725205
366,Monicadentuda_98,41,17,Monicadentuda_98@gmail.com,493941810751
367,Cebolinha_16,39,26,Cebolinha_16@gmail.com,749367239390
368,BladeRunner_94,58,26,BladeRunner_94@gmail.com,231275519432
369,Elasto_14,74,21,Elasto_14@gmail.com,621272169961
370,InazumaEleven_57,60,30,InazumaEleven_57@hotmail.com,801593442222
371,Inuyasha_67,33,25,Inuyasha_67@gmail.com,218193202519
372,Yusuke Urameshi_76,91,22,YusukeUrameshi_76@hotmail.com,230782396473
373,Hiei_35,36,22,Hiei_35@gmail.com,490364289011
374,Kurama_72,74,27,Kurama_72@gmail.com,162561140032
375,Gon_61,75,21,Gon_61@gmail.com,963651481519
376,Killua_44,0,18,Killua_44@gmail.com,145466261238
377,Hisoka_42,42,30,Hisoka_42@gmail.com,360758316572
378,NeerLand_41,60,23,NeerLand_41@gmail.com,850454803659
379,CloudFuel_80,39,25,CloudFuel_80@gmail.com,153826566449
380,Sleegi_46,0,18,Sleegi_46@hotmail.com,111742818290
381,realizmbass_22,15,24,realizmbass_22@gmail.com,471231949228
382,Rickyandmorty_14,52,18,Rickyandmorty_14@hotmail.com,788780175957
383,Godsmilla_73,24,27,Godsmilla_73@outlook.com,735964989704
384,Brian_14,0,17,Brian_14@gmail.com,615435824748
385,StigOnSteroids_72,57,22,StigOnSteroids_72@gmail.com,901403697022
386,Koenigsegg_57,45,25,Koenigsegg_57@hotmail.com,153505584084
387,KingMuffins16_96,20,21,KingMuffins16_96@gmail.com,606563444606
388,Shinji_21,0,22,Shinji_21@gmail.com,364266930006
389,Rei_94,75,24,Rei_94@gmail.com,658500169014
390,EVA01_92,38,18,EVA01_92@gmail.com,695727516763
391,EVA00_57,100,28,EVA00_57@gmail.com,222837759377
392,SamuraiX_4,18,18,SamuraiX_4@yahoo.com,357569142384
393,NathanHammerTime_90,71,24,NathanHammerTime_90@gmail.com,664080062351
394,charlesjogos_11,0,20,charlesjogos_11@gmail.com,581383639603
395,Diablo_11,52,25,Diablo_11@gmail.com,197933245797
396,Diablete_60,43,18,Diablete_60@hotmail.com,740260444983
397,Sasuke_33,23,18,Sasuke_33@gmail.com,918809249125
398,Contra_53,14,20,Contra_53@outlook.com,982274367725
399,BuldogueAloprado_88,35,24,BuldogueAloprado_88@hotmail.com,408186866672
400,EsquiloTorto612,60,19,EsquiloTorto612@hotmail.com,997607154755
401,Lfz85,78,23,Lfz85@hotmail.com,120701541150
402,MorfeuDoidao160,61,26,MorfeuDoidao160@gmail.com,872808285245
403,Uizel83,75,19,Uizel83@yahoo.com,773049765192
404,Shimo501,68,24,Shimo501@gmail.com,840389082925
405,duduxgamer118,21,15,duduxgamer118@gmail.com,665402091615
406,YodaSL429,52,21,YodaSL429@yahoo.com,142140541226
407,alanzoka615,39,29,alanzoka615@gmail.com,508896972783
408,Kami188,77,26,Kami188@hotmail.com,569102229379
409,Faker568,100,24,Faker568@hotmail.com,846758300016
410,Caca302,69,32,Caca302@hotmail.com,642602802254
411,TomFromIT469,0,19,TomFromIT469@gmail.com,602042416221
412,ObiWanKenhomie238,53,24,ObiWanKenhomie238@hotmail.com,305004852582
413,CaptinAwsome61658,89,32,CaptinAwsome61658@hotmail.com,232126752305
414,WittyPup38120198,55,18,WittyPup38120198@gmail.com,891103691418
415,UnabatedShagie57,100,34,UnabatedShagie57@gmail.com,490235254083
416,xxGREENxARR0Wxx793,58,21,xxGREENxARR0Wxx793@gmail.com,882742948521
417,duckyisbeast995,42,18,duckyisbeast995@gmail.com,640629603447
418,SoulLaVane193,45,27,SoulLaVane193@gmail.com,676114339879
419,Xerel641,78,26,Xerel641@yahoo.com,366017574157
420,eclaireN7627,78,24,eclaireN7627@gmail.com,618273633040
421,BoboMajora555,34,17,BoboMajora555@gmail.com,458605537320
422,Bob854,87,25,Bob854@gmail.com,396985050146
423,Alexassaura196,58,25,Alexassaura196@yahoo.com,956677590672
424,PatoPapao745,19,25,PatoPapao745@gmail.com,194987336230
425,Mylonzete580,51,23,Mylonzete580@gmail.com,310788670317
426,revolta993,42,19,revolta993@gmail.com,488312235880
427,Rakin348,63,21,Rakin348@gmail.com,342032610926
428,esA941,57,19,esA941@yahoo.com,168803660018
429,Felps498,53,23,Felps498@gmail.com,393332506923
430,MrFall236,61,24,MrFall236@gmail.com,514358352573
431,takeshi157,88,26,takeshi157@gmail.com,350804924346
432,DooDooDave630,33,20,DooDooDave630@hotmail.com,374316035265
